,Airline,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Date,Month,Dep_Hour,Dep_Minute,Arr_Hour,Arr_Minute
331,3,2,1,111,480,1,8,6528,21,3,14,20,22,20
332,2,0,2,18,165,0,8,4239,9,4,20,55,23,40
333,3,3,0,64,160,0,8,4148,12,3,20,25,23,5
334,8,0,2,18,175,0,8,3971,24,5,21,10,0,5
335,0,3,0,73,955,1,8,5192,6,5,7,35,23,30
336,4,2,1,97,1390,2,8,9483,9,4,13,25,12,35
337,4,2,1,117,440,2,8,18804,3,6,11,40,19,0
338,1,2,1,106,170,0,8,5201,18,6,5,10,8,0
339,4,2,1,104,450,1,8,16079,27,5,11,30,19,0
340,4,0,2,18,180,0,5,7229,15,6,19,50,22,50
341,6,2,1,104,465,1,8,6795,27,5,17,45,1,30
342,4,3,0,73,1520,1,8,10953,9,5,9,35,10,55
343,6,2,1,113,625,2,8,15965,24,6,15,5,1,30
344,1,2,1,117,1820,2,8,9968,9,4,12,55,19,15
345,3,3,0,64,155,0,8,4804,6,6,22,15,0,50
346,4,2,1,104,540,1,8,16079,27,5,10,0,19,0
347,4,2,1,113,910,2,5,11507,12,6,21,25,12,35
348,1,3,0,67,1700,2,8,11542,9,6,9,25,13,45
349,4,0,2,18,180,0,8,7229,24,4,17,45,20,45
350,4,0,2,18,165,0,5,4544,27,4,6,0,8,45
351,3,2,1,103,295,1,8,6496,15,5,5,10,10,5
352,3,3,0,64,160,0,8,4804,15,6,21,25,0,5
353,1,0,2,15,1330,1,8,13439,1,3,11,5,9,15
354,4,2,1,104,610,1,5,6540,27,3,18,15,4,25
355,3,0,2,18,170,0,8,4591,1,6,23,30,2,20
356,3,0,2,24,260,1,8,4437,18,3,16,15,20,35
357,0,2,1,103,660,1,8,6151,21,3,20,10,7,10
358,4,0,2,18,180,0,5,7754,21,6,17,45,20,45
359,4,2,1,104,1355,1,5,10262,24,6,14,0,12,35
360,4,0,2,18,185,0,8,8016,9,6,18,55,22,0
361,8,3,0,64,160,0,7,4781,24,3,6,55,9,35
362,10,0,2,18,170,0,8,4668,27,6,11,30,14,20
363,1,0,2,28,1265,1,8,14594,6,3,11,50,8,55
364,4,3,0,66,710,1,8,14231,24,3,16,55,4,45
365,1,2,1,125,1535,1,8,8425,15,5,5,15,6,50
366,6,2,1,111,925,1,8,9646,12,6,7,5,22,30
367,3,1,4,127,145,0,8,7295,3,3,14,40,17,5
368,0,3,0,60,220,1,8,5162,9,4,6,50,10,30
369,3,0,2,18,175,0,8,6860,9,3,18,25,21,20
370,10,2,1,106,190,0,8,6216,15,4,6,0,9,10
371,0,3,0,73,710,1,8,5192,24,5,7,35,19,25
372,3,0,2,18,170,0,8,4823,9,4,20,0,22,50
373,8,0,2,18,170,0,7,3919,3,4,9,30,12,20
374,3,4,3,48,90,0,8,2754,3,6,19,5,20,35
375,6,2,1,104,690,1,8,9315,9,5,7,30,19,0
376,6,2,1,104,530,1,8,11667,27,3,10,0,18,50
377,4,3,0,66,1215,1,5,6224,12,6,8,25,4,40
378,1,3,0,68,1210,2,8,13349,24,3,9,25,5,35
379,4,0,2,5,965,1,5,11087,18,3,16,55,9,0
380,6,2,1,104,755,1,8,15603,6,3,13,0,1,35
381,4,2,1,116,1025,2,8,15129,9,5,19,30,12,35
382,3,0,2,18,180,0,8,4823,9,4,16,55,19,55
383,10,3,0,73,930,1,8,8452,1,5,7,10,22,40
384,6,2,1,104,690,1,8,12524,6,6,7,30,19,0
385,8,1,4,127,140,0,8,3384,27,3,17,45,20,5
386,4,2,1,104,1425,1,5,10262,1,6,19,15,19,0
387,8,4,3,48,90,0,7,1965,18,6,13,15,14,45
388,3,3,0,64,155,0,8,4804,18,5,22,15,0,50
389,4,2,1,104,1485,1,8,16079,27,5,18,15,19,0
390,4,2,1,113,1295,2,8,13292,1,6,21,25,19,0
391,0,2,1,103,330,1,8,6751,9,5,7,55,13,25
392,1,2,1,104,735,1,8,8669,15,5,7,0,19,15
393,3,2,1,104,485,1,8,14871,3,3,17,30,1,35
394,4,2,1,104,300,1,5,12898,21,5,14,0,19,0
395,8,0,2,18,170,0,7,3919,6,6,9,30,12,20
396,6,2,1,104,385,1,8,36983,1,3,12,50,19,15
397,3,1,4,127,140,0,8,3597,3,6,19,35,21,55
398,1,0,2,18,165,0,8,10741,9,3,17,0,19,45
399,1,3,0,68,765,2,8,11432,6,6,16,50,5,35
400,4,0,2,5,950,1,5,11087,12,3,18,55,10,45
401,4,2,1,113,1620,2,8,13292,3,6,9,35,12,35
402,1,2,1,124,1585,3,8,10493,15,6,5,15,7,40
403,2,0,2,18,175,0,8,7631,9,3,7,45,10,40
404,1,2,1,105,1490,2,8,13381,6,6,6,50,7,40
405,4,3,0,66,520,1,8,13731,6,6,20,0,4,40
406,1,2,1,102,1545,2,8,11911,21,5,5,55,7,40
407,3,0,2,18,170,0,8,4591,18,4,23,30,2,20
408,6,2,1,104,375,1,8,14848,3,6,13,0,19,15
409,6,2,1,104,630,1,8,8266,12,6,8,45,19,15
410,1,2,1,110,1560,2,8,12392,18,5,17,15,19,15
411,4,3,0,66,1025,1,8,13044,12,6,18,55,12,0
412,4,2,1,104,1280,1,5,12898,21,5,7,5,4,25
413,4,2,1,104,335,1,8,12242,21,3,22,50,4,25
414,3,0,2,18,170,0,8,3943,18,5,10,10,13,0
415,10,3,0,73,1550,1,8,11105,24,3,20,20,22,10
416,4,3,0,66,730,1,8,14388,12,5,21,10,9,20
417,4,2,1,116,1025,2,8,13014,18,5,19,30,12,35
418,6,2,1,104,510,1,8,15411,6,3,10,20,18,50
419,4,2,1,104,1385,1,8,16289,9,3,19,45,18,50
420,3,2,1,111,560,1,8,6442,15,5,6,50,16,10
421,4,3,0,66,475,1,5,10844,18,5,8,25,16,20
422,4,4,3,48,90,0,8,5678,18,5,10,20,11,50
423,3,0,2,18,170,0,8,6906,12,4,23,30,2,20
424,8,1,4,127,135,0,7,3543,21,5,9,45,12,0
425,4,2,1,104,600,1,8,14714,6,6,9,0,19,0
426,11,0,2,18,155,0,8,11793,3,3,16,0,18,35
427,6,2,1,104,465,1,8,14323,15,5,11,30,19,15
428,8,0,2,18,175,0,8,3971,9,4,21,10,0,5
429,10,3,0,73,1580,1,8,8452,6,5,20,20,22,40
430,10,0,2,18,160,0,8,5403,12,4,7,0,9,40
431,6,2,1,104,660,1,8,13727,9,5,10,0,21,0
432,1,3,0,72,1165,2,8,12639,1,4,10,0,5,25
433,4,0,2,18,175,0,5,5198,18,4,15,15,18,10
434,10,0,2,18,165,0,8,4878,1,6,19,30,22,15
435,4,2,1,104,1395,1,5,12373,18,5,19,45,19,0
436,6,2,1,111,540,1,5,8552,3,3,7,10,16,10
437,10,2,1,106,190,0,8,6741,21,4,14,40,17,50
438,6,2,1,104,385,1,8,6481,9,4,12,50,19,15
439,6,2,1,104,520,1,8,7354,6,6,10,35,19,15
440,1,0,2,18,170,0,8,5228,21,4,21,5,23,55
441,4,3,0,66,740,1,5,10844,12,5,8,25,20,45
442,3,2,1,111,320,1,8,6347,18,5,6,50,12,10
